Jetty Paerl
Elhaida Dani
Voltaj
Nina Sublatti
Monika Linkytė
Molly Sterling
Anita Simoncini
Knez
Amber
Mørland
Leonor Andrade
Marta Jandová
Nadav Guedj
Aminata
Elnur Huseynov
Maria Olafs
Måns Zelmerlöw
Mélanie René
John Karayiannis
Maraaya
Monika Kuszyńska
Lisa Angell
Electro Velvet
Guy Sebastian
The Makemakes
Ann Sophie
Edurne
Il Volo
Sandhja
Argo
Lidia Isac
Freddie
Nina Kraljić
Douwe Bob
Iveta Mukuchyan
Serhat
Sergey Lazarev
Gabriela Gunčíková
Minus One
Zoë
Jüri Pootsmann
Samra
Highway
Greta Salóme
Dalal
Ira Losco
Justs
Michał Szpak
Rykka
Hovi Star
Ivan
ZAA Sanja Vučić
Nicky Byrne
Kaliopi
Donny Montell
Dami Im
ManuElla
Poli Genova
Lighthouse X
Jamala
Agnete
Nika Kocharov & Young Georgian Lolitaz
Eneda Tarifa
Laura Tesoro
Francesca Michielin
Frans
Jamie-Lee
Amir
Barei
Joe & Jake
Robin Bengtsson
Tamara Gachechiladze
Isaiah
Lindita
Blanche
Slavko Kalezić
Norma John
Dihaj
Salvador Sobral
Demy
Kasia Moś
SunStroke Project
Svala
Martina Bárta
Hovig
Artsvik
Omar Naber
Triana Park
Tijana Bogićević
Nathan Trent
Jana Burčeska
Claudia Faniello
Ilinca
O'G3NE
Joci Pápai
Anja
Brendan Murray
Valentina Monetta
Jacques Houdek
Jowst
Timebelle
Naviband
Kristian Kostov
Fusedmarc
Koit Toome
Imri
Francesco Gabbani
Manel Navarro
Lucie Jones
Levina
O.Torvald
Alma
Aisel
Ari Ólafsson
Eugent Bushpepa
Sennek
Mikolas Josef
Ieva Zasimauskaitė
Netta
Alekseev
Elina Nechayeva
Equinox
Eye Cue
Franka
Cesár Sampson
Yianna Terzi
Saara Aalto
Sevak Khanagyan
ZiBBZ
Ryan O'Shaughnessy
Eleni Foureira
Alexander Rybak
The Humans
Sanja Ilić
Jessika
Rasmussen
Julia Samoylova
DoReDoS
Waylon
Jessica Mauboy
Ethno-Jazz Band Iriao
Gromee
Christabelle
AWS
Laura Rizzotto
Benjamin Ingrosso
Vanja Radovanović
Lea Sirk
Mélovin
Amaia
Cláudia Pascoal
SuRie
Michael Schulte
Madame Monsieur
Ermal Meta
Tamta
D mol
Darude
Tulia
Zala Kralj & Gašper Šantl
Lake Malawi
Joci Pápai
Zena
Nevena Božović
Eliot
Oto Nemsadze
Kate Miller-Heidke
Hatari
Victor Crone
Conan Osiris
Katerine Duska
Serhat
Srbuk
Sarah McTernan
Anna Odobescu
Luca Hänni
Carousel
Ester Peony
Leonora
John Lundvik
Pænda
Roko
Michela
Jurij Veklenko
Sergey Lazarev
Jonida Maliqi
KEiiNO
Duncan Laurence
Tamara Todevska
Chingiz
S!sters
Kobi Marimi
Michael Rice
Bilal Hassani
Mahmood
Miki
